Image Tag,Analysis Region,Total Cells,Hoechst 33342 ,Rhodamine 6G ,Cy5 ,5-FAM ,Texas Red ,Hoechst 33342 Positive Nuclei Cells,Rhodamine 6G Positive Nuclei Cells,Negative Nuclei Cells,Rhodamine 6G Positive Cytoplasm Cells,Cy5 Positive Cytoplasm Cells,5-FAM Positive Cytoplasm Cells,Texas Red Positive Cytoplasm Cells,Negative Cytoplasm Cells,CD8+GzBp Cells,CD8+GzBpPanCKp Cells,CD8+GzBpPanCKn Cells,CD8+GzBn Cells,CD8+GzBnPanCKp Cells,CD8+GzBnPanCKn Cells,CD8+PDL1p Cells,CD8+PDL1pPanCKp Cells,CD8+PDL1pPanCKn Cells,CD8+PDL1n Cells,CD8+PDL1nPanCKp Cells,CD8+PDL1nPanCKn Cells,CD8+PanCKp Cells,CD8+PanCKn Cells,PDL1pPanCKp Cells,PDL1pPanCKn Cells,% Hoechst 33342 ,% Rhodamine 6G ,% Cy5 ,% 5-FAM ,% Texas Red ,% Hoechst 33342 Positive Nuclei Cells,% Rhodamine 6G Positive Nuclei Cells,% Rhodamine 6G Positive Cytoplasm Cells,% Cy5 Positive Cytoplasm Cells,% 5-FAM Positive Cytoplasm Cells,% Texas Red Positive Cytoplasm Cells,% CD8+GzBp ,% CD8+GzBpPanCKp ,% CD8+GzBpPanCKn ,% CD8+GzBn ,% CD8+GzBnPanCKp ,% CD8+GzBnPanCKn ,% CD8+PDL1p ,% CD8+PDL1pPanCKp ,% CD8+PDL1pPanCKn ,% CD8+PDL1n ,% CD8+PDL1nPanCKp ,% CD8+PDL1nPanCKn ,% CD8+PanCKp ,% CD8+PanCKn ,% PDL1pPanCKp ,% PDL1pPanCKn ,Hoechst 33342 Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Cytoplasm Intensity,Cy5 Avg Positive Cytoplasm Intensity,5-FAM Avg Positive Cytoplasm Intensity,Texas Red Avg Positive Cytoplasm Intensity,Avg Cell Area (μm²),Avg Cytoplasm Area (μm²),Avg Nucleus Area (μm²),Avg Nucleus Perimeter (μm),Avg Nucleus Roundness,Area Analyzed (μm²)
NVA_PREDICT-COMBO1-Prod_19T037089-2.LP-01-48.C1.czi,Layer 1,49929,49929,479,18,4393,2071,49929,434,0,128,18,4393,2071,43575,162,20,142,1909,112,1797,5,1,4,2066,131,1935,132,1939,1,17,100,0.959362,0.036051,8.798493,4.14789,100,0.869234,0.256364,0.036051,8.798493,4.14789,0.324461,0.040057,0.284404,3.823429,0.224319,3.599111,0.010014,0.002003,0.008011,4.137876,0.262373,3.875503,0.264375,3.883515,0.002003,0.034048,18860.43945,356.804718,333.531403,4877.40332,4080.37085,983.638306,86.513725,57.789074,28.724648,24.448105,0.706337,14852621
NVA_PREDICT-COMBO1-Prod_19T036268-16.LP-01-40.C1.czi,Layer 1,868076,868076,9359,710902,283067,30113,868076,8871,0,2663,710902,283067,30113,127406,4013,1782,2231,26100,9198,16902,28166,10478,17688,1947,502,1445,10980,19133,254864,456038,100,1.078131,81.893982,32.608551,3.468936,100,1.021915,0.30677,81.893982,32.608551,3.468936,0.462287,0.205282,0.257005,3.006649,1.059585,1.947065,3.244647,1.207037,2.03761,0.224289,0.057829,0.16646,1.264866,2.20407,29.359642,52.53434,24529.54492,394.711212,359.124451,6306.967285,2997.523438,431.157928,94.866058,58.185272,36.680786,27.513975,0.722107,135451936
NVA_PREDICT-COMBO1-Prod_19T036268-16.LP-01-40.C1.czi,Layer 2,210344,210344,1633,21170,13669,6335,210344,1473,0,789,21170,13669,6335,170281,303,8,295,6032,248,5784,1135,19,1116,5200,237,4963,256,6079,366,20804,100,0.776347,10.064466,6.498403,3.011733,100,0.700281,0.3751,10.064466,6.498403,3.011733,0.14405,0.003803,0.140246,2.867683,0.117902,2.749781,0.539592,0.009033,0.530559,2.472141,0.112673,2.359468,0.121705,2.890028,0.174001,9.890465,16843.56055,484.77243,482.47467,2637.892822,2581.769775,429.219879,90.648499,51.559467,39.089035,28.054411,0.72158,29515260
NVA_PREDICT-COMBO1-Prod_19T034099-15.LP-01-34.C1.czi,Layer 1,543260,543260,4210,4426,121825,28699,543260,3481,0,2747,4426,121825,28699,391670,981,380,601,27718,4259,23459,843,98,745,27856,4541,23315,4639,24060,197,4229,100,0.774951,0.814711,22.424807,5.282738,100,0.640761,0.505651,0.814711,22.424807,5.282738,0.180577,0.069948,0.110628,5.102161,0.783971,4.31819,0.155174,0.018039,0.137135,5.127563,0.83588,4.291684,0.853919,4.428819,0.036263,0.778449,20703.10156,510.741974,480.463593,2030.966064,6470.53125,668.325989,85.392776,55.329048,30.063728,24.986589,0.711592,90832304
NVA_PREDICT-COMBO1-Prod_19T034099-15.LP-01-34.C1.czi,Layer 2,152284,152284,6099,14,69952,2730,152284,5236,0,3340,14,69952,2730,79024,151,68,83,2579,965,1614,2,0,2,2728,1033,1695,1033,1697,1,13,100,4.005017,0.009193,45.935226,1.792703,100,3.438313,2.19327,0.009193,45.935226,1.792703,0.099157,0.044653,0.054503,1.693546,0.633684,1.059862,0.001313,0,0.001313,1.79139,0.678338,1.113052,0.678338,1.114365,0.000657,0.008537,15750.36328,566.471558,532.342468,2186.577393,3305.343506,773.986633,89.623962,57.761864,31.862097,26.243176,0.694506,43244480
NVA_PREDICT-COMBO1-Prod_19T035911-2.LP-01-45.C1.czi,Layer 1,7948,7948,483,2,4518,387,7948,399,0,301,2,4518,387,3020,85,38,47,302,71,231,0,0,0,387,109,278,109,278,2,0,100,6.077001,0.025164,56.84449,4.86915,100,5.020131,3.787116,0.025164,56.84449,4.86915,1.069451,0.478108,0.591344,3.799698,0.893306,2.906392,0,0,0,4.86915,1.371414,3.497735,1.371414,3.497735,0.025164,0,24310.91602,581.858582,513.509888,1506.546143,3713.748535,617.469421,81.741112,52.541313,29.199797,25.200912,0.68488,1254280.25
NVA_PREDICT-COMBO1-Prod_19T034643-0.LP-01-52.C1.czi,Layer 1,75748,75748,48247,148,59109,12015,75748,45241,0,33910,148,59109,12015,13214,8393,7149,1244,3622,2276,1346,23,13,10,11992,9412,2580,9425,2590,128,20,100,63.694092,0.195385,78.033745,15.861805,100,59.72567,44.766857,0.195385,78.033745,15.861805,11.08016,9.437873,1.642288,4.781644,3.0047,1.776945,0.030364,0.017162,0.013202,15.831441,12.42541,3.40603,12.442573,3.419232,0.168981,0.026403,26620.85938,381.511932,373.070709,3438.914063,9511.375977,1135.326904,83.38446,51.159828,32.224636,26.158123,0.704164,11374543
NVA_PREDICT-COMBO1-Prod_19T031901-7.LP-01-28.C1.czi,Layer 1,199938,199938,382,88,87548,4105,199938,331,0,145,88,87548,4105,109211,1,0,1,4104,1004,3100,1,1,0,4104,1003,3101,1004,3101,84,4,100,0.191059,0.044014,43.787575,2.053137,100,0.165551,0.072522,0.044014,43.787575,2.053137,0.0005,0,0.0005,2.052636,0.502156,1.550481,0.0005,0.0005,0,2.052636,0.501656,1.550981,0.502156,1.550981,0.042013,0.002001,12380.58594,343.536407,325.623444,2181.896973,5423.131836,498.145264,90.245087,52.02076,38.224327,28.378475,0.705438,36597316
NVA_PREDICT-COMBO1-Prod_19T031901-7.LP-01-28.C1.czi,Layer 2,230501,230501,3194,1,86537,1866,230501,3101,0,635,1,86537,1866,142338,30,12,18,1836,499,1337,0,0,0,1866,511,1355,511,1355,1,0,100,1.385677,0.000434,37.543003,0.809541,100,1.34533,0.275487,0.000434,37.543003,0.809541,0.013015,0.005206,0.007809,0.796526,0.216485,0.580041,0,0,0,0.809541,0.221691,0.58785,0.221691,0.58785,0.000434,0,12235.83496,356.225281,345.391571,1292.536987,3073.443115,490.601501,89.557884,54.038029,35.519855,27.259933,0.702318,53439580
NVA_PREDICT-COMBO1-Prod_19T032359-23.LP-01-30.C1.czi,Layer 1,330448,330448,3418,25524,171461,9619,330448,1997,0,2487,25524,171461,9619,150098,196,107,89,9423,3572,5851,637,350,287,8982,3329,5653,3679,5940,23518,2006,100,1.034353,7.72406,51.887436,2.910897,100,0.604331,0.752615,7.72406,51.887436,2.910897,0.059313,0.03238,0.026933,2.851583,1.080957,1.770627,0.192769,0.105917,0.086852,2.718128,1.00742,1.710708,1.113337,1.79756,7.117005,0.607055,15064.98438,496.553833,507.754547,3243.265137,6864.504883,540.5849,84.34362,48.834126,35.509495,27.42564,0.703246,40849912
NVA_PREDICT-COMBO1-Prod_19T032359-23.LP-01-30.C1.czi,Layer 2,36902,36902,685,2,7733,2630,36902,589,0,383,2,7733,2630,26590,34,15,19,2596,203,2393,0,0,0,2630,218,2412,218,2412,1,1,100,1.856268,0.00542,20.955503,7.126985,100,1.596119,1.037884,0.00542,20.955503,7.126985,0.092136,0.040648,0.051488,7.034849,0.550106,6.484744,0,0,0,7.126985,0.590754,6.536231,0.590754,6.536231,0.00271,0.00271,15789.25488,463.944946,423.084961,1207.700073,3088.193848,702.398499,86.519455,56.140472,30.378983,25.379169,0.706226,11101016
NVA_PREDICT-COMBO1-Prod_19T032882-16.LP-01-31.C1.czi,Layer 1,545595,545595,14812,106,320734,5091,545595,8786,0,10129,106,320734,5091,219225,232,83,149,4859,1070,3789,3,1,2,5088,1152,3936,1153,3938,58,48,100,2.714834,0.019428,58.786095,0.93311,100,1.610352,1.856505,0.019428,58.786095,0.93311,0.042522,0.015213,0.02731,0.890587,0.196116,0.694471,0.00055,0.000183,0.000367,0.93256,0.211146,0.721414,0.211329,0.721781,0.010631,0.008798,10601.01074,365.072296,335.194611,2684.388428,5821.952148,535.558655,97.231224,51.139229,46.091991,31.139765,0.710562,84217528
NVA_PREDICT-COMBO1-Prod_19T032882-16.LP-01-31.C1.czi,Layer 2,64615,64615,17597,6,40652,2003,64615,17328,0,4719,6,40652,2003,23233,952,818,134,1051,701,350,0,0,0,2003,1519,484,1519,484,1,5,100,27.233614,0.009286,62.914185,3.099899,100,26.817303,7.303258,0.009286,62.914185,3.099899,1.473342,1.26596,0.207382,1.626557,1.084887,0.54167,0,0,0,3.099899,2.350847,0.749052,2.350847,0.749052,0.001548,0.007738,14096.42188,365.817627,359.55014,1533.479614,5446.368652,855.889587,84.12941,54.078705,30.050705,25.030029,0.714328,33656156
NVA_PREDICT-COMBO1-Prod_19T030394-7.LP-01-23.C1.czi,Layer 1,833616,833616,20574,441,359215,17122,833616,14328,0,16319,441,359215,17122,449436,606,129,477,16516,2575,13941,63,10,53,17059,2694,14365,2704,14418,86,355,100,2.468043,0.052902,43.091183,2.053943,100,1.718777,1.957616,0.052902,43.091183,2.053943,0.072695,0.015475,0.057221,1.981248,0.308895,1.672353,0.007557,0.0012,0.006358,2.046386,0.32317,1.723215,0.32437,1.729573,0.010317,0.042586,12603.36328,589.700745,501.332306,1958.601074,5026.874023,559.49762,92.298126,53.863888,38.434235,28.619108,0.704683,128094992
NVA_PREDICT-COMBO1-Prod_19T030394-7.LP-01-23.C1.czi,Layer 2,147030,147030,10020,91,101917,1384,147030,9253,0,3905,91,101917,1384,43633,259,185,74,1125,659,466,7,1,6,1377,843,534,844,540,7,84,100,6.814936,0.061892,69.317146,0.941305,100,6.293273,2.655921,0.061892,69.317146,0.941305,0.176155,0.125825,0.05033,0.76515,0.448208,0.316942,0.004761,0.00068,0.004081,0.936544,0.573352,0.363191,0.574032,0.367272,0.004761,0.057131,17634.8457,501.209961,563.697083,3790.690186,3523.067383,543.575378,86.046021,55.311172,30.73485,25.543406,0.706211,51438128
NVA_PREDICT-COMBO1-Prod_19T030763-2.LP-01-38.C1.czi,Layer 1,1133828,1133828,526,68,459708,6679,1133828,449,0,138,68,459708,6679,668642,74,28,46,6605,1237,5368,8,0,8,6671,1265,5406,1265,5414,18,50,100,0.046392,0.005997,40.544773,0.589066,100,0.0396,0.012171,0.005997,40.544773,0.589066,0.006527,0.00247,0.004057,0.58254,0.109099,0.47344,0.000706,0,0.000706,0.588361,0.111569,0.476792,0.111569,0.477497,0.001588,0.00441,28922.79297,343.62439,326.226807,2754.817871,3042.831787,514.272034,89.615379,48.707626,40.907753,29.432434,0.714032,157989360
NVA_PREDICT-COMBO1-Prod_19T031076-2.LP-01-24.C1.czi,Layer 1,313280,313280,2609,1002,102462,5179,313280,2014,0,1813,1002,102462,5179,205127,39,8,31,5140,1057,4083,34,9,25,5145,1056,4089,1065,4114,564,438,100,0.832801,0.319842,32.706203,1.653154,100,0.642875,0.578716,0.319842,32.706203,1.653154,0.012449,0.002554,0.009895,1.640705,0.337398,1.303307,0.010853,0.002873,0.00798,1.642301,0.337079,1.305222,0.339951,1.313202,0.180031,0.139811,16550.22656,428.970337,390.220184,3609.690918,5143.527344,451.393066,88.728798,50.786137,37.942661,28.132095,0.720498,50761564
NVA_PREDICT-COMBO1-Prod_19T031076-2.LP-01-24.C1.czi,Layer 2,93201,93201,2529,3,37028,981,93201,2414,0,646,3,37028,981,55121,52,21,31,929,240,689,0,0,0,981,261,720,261,720,1,2,100,2.71349,0.003219,39.729187,1.052564,100,2.590101,0.693126,0.003219,39.729187,1.052564,0.055793,0.022532,0.033261,0.99677,0.257508,0.739262,0,0,0,1.052564,0.28004,0.772524,0.28004,0.772524,0.001073,0.002146,13039.51367,381.516022,426.581696,1408.034668,2754.951904,529.853088,94.32132,57.318115,37.003204,28.022684,0.71377,32100110
NVA_PREDICT-COMBO1-Prod_19T031082-3.LP-01-25.C1.czi,Layer 1,299675,299675,12273,561,136693,14649,299675,9803,0,6871,561,136693,14649,151377,575,484,91,14074,3582,10492,113,11,102,14536,4055,10481,4066,10583,76,485,100,4.095437,0.187203,45.613747,4.888296,100,3.27121,2.292817,0.187203,45.613747,4.888296,0.191875,0.161508,0.030366,4.696421,1.195295,3.501126,0.037708,0.003671,0.034037,4.850588,1.353133,3.497456,1.356803,3.531492,0.025361,0.161842,17435.95117,351.33429,344.027374,1710.170898,5933.780273,542.537048,87.792496,51.303623,36.488876,27.854298,0.703186,40597988
NVA_PREDICT-COMBO1-Prod_19T031082-3.LP-01-25.C1.czi,Layer 2,87684,87684,7496,7,39178,2942,87684,7332,0,1581,7,39178,2942,46546,277,223,54,2665,1181,1484,0,0,0,2942,1404,1538,1404,1538,0,7,100,8.54888,0.007983,44.680901,3.35523,100,8.361845,1.803066,0.007983,44.680901,3.35523,0.315907,0.254322,0.061585,3.039323,1.346882,1.692441,0,0,0,3.35523,1.601204,1.754026,1.601204,1.754026,0,0.007983,14902.86426,380.699219,411.925842,1532.368652,3772.15625,587.169556,88.374596,56.741402,31.633192,25.76297,0.704456,21846490
NVA_PREDICT-COMBO1-Prod_19T031101-0.LP-01-44.C1.czi,Layer 1,9795,9795,2316,12,3073,1114,9795,2245,0,548,12,3073,1114,5802,327,104,223,787,128,659,5,1,4,1109,231,878,232,882,2,10,100,23.644716,0.122511,31.37315,11.37315,100,22.919857,5.594691,0.122511,31.37315,11.37315,3.338438,1.061766,2.276672,8.034712,1.306789,6.727922,0.051046,0.010209,0.040837,11.322104,2.358346,8.963757,2.368555,9.004594,0.020419,0.102093,34283.99609,358.351349,323.904724,1608.278809,6733.317871,788.48175,77.484695,51.179447,26.305252,23.334999,0.709906,1544575.5
NVA_PREDICT-COMBO1-Prod_19T028605-11.LP-01-18.C1.czi,Layer 1,491757,491757,1937,120296,217000,30232,491757,1746,0,607,120296,217000,30232,234596,762,466,296,29470,12533,16937,11856,8330,3526,18376,4669,13707,12999,17233,94004,26292,100,0.393894,24.462488,44.127487,6.147752,100,0.355053,0.123435,24.462488,44.127487,6.147752,0.154955,0.094762,0.060192,5.992797,2.548616,3.444181,2.410947,1.693926,0.717021,3.736805,0.949453,2.787352,2.643379,3.504373,19.115946,5.346543,12125.87207,376.732849,368.022644,3011.560547,4001.820801,550.548218,101.259964,57.006363,44.253605,30.487799,0.708714,87451336
NVA_PREDICT-COMBO1-Prod_19T028605-11.LP-01-18.C1.czi,Layer 2,35853,35853,1375,7,15789,687,35853,1344,0,178,7,15789,687,19622,64,36,28,623,309,314,0,0,0,687,345,342,345,342,2,5,100,3.835104,0.019524,44.038155,1.916158,100,3.74864,0.496472,0.019524,44.038155,1.916158,0.178507,0.10041,0.078097,1.737651,0.861853,0.875798,0,0,0,1.916158,0.962263,0.953895,0.962263,0.953895,0.005578,0.013946,10098.99707,381.124847,438.326385,2188.283447,3153.481201,605.110168,88.580643,52.899269,35.681377,27.343103,0.716093,15133494
NVA_PREDICT-COMBO1-Prod_19T028388-EX1B.LP-01-17.C1.czi,Layer 1,21381,21381,343,0,6542,1505,21381,342,0,23,0,6542,1505,13362,12,5,7,1493,24,1469,0,0,0,1505,29,1476,29,1476,0,0,100,1.604228,0,30.59726,7.03896,100,1.599551,0.107572,0,30.59726,7.03896,0.056125,0.023385,0.032739,6.982835,0.112249,6.870586,0,0,0,7.03896,0.135634,6.903326,0.135634,6.903326,0,0,10544.58106,332.355164,339.083313,0,3719.387207,670.82666,97.698944,59.62405,38.074894,28.235357,0.704674,7567474
NVA_PREDICT-COMBO1-Prod_19T027169-11.LP-01-16.C1.czi,Layer 1,327334,327334,2340,2616,110932,18639,327334,2022,0,796,2616,110932,18639,203128,302,180,122,18337,7329,11008,503,89,414,18136,7420,10716,7509,11130,361,2255,100,0.714866,0.799184,33.889545,5.694184,100,0.617718,0.243177,0.799184,33.889545,5.694184,0.092261,0.05499,0.037271,5.601923,2.238997,3.362926,0.153666,0.027189,0.126476,5.540518,2.266798,3.273721,2.293987,3.400197,0.110285,0.688899,18819.11328,353.127808,336.334625,1990.478394,3865.735352,471.751221,84.153664,51.595493,32.558174,26.358007,0.696413,39712300
NVA_PREDICT-COMBO1-Prod_19T027169-11.LP-01-16.C1.czi,Layer 2,20762,20762,392,39,7295,1184,20762,327,0,286,39,7295,1184,12463,23,6,17,1161,399,762,15,1,14,1169,404,765,405,779,4,35,100,1.888065,0.187843,35.136307,5.702726,100,1.574993,1.377517,0.187843,35.136307,5.702726,0.110779,0.028899,0.08188,5.591947,1.92178,3.670167,0.072247,0.004816,0.067431,5.630479,1.945863,3.684616,1.950679,3.752047,0.019266,0.168577,16132.83887,485.792603,426.818848,3831.41748,3237.185791,480.228821,82.129898,53.931244,28.198654,24.066671,0.718753,3230673.25
NVA_PREDICT-COMBO1-Prod_19T030346-8.LP-01-22.C1.czi,Layer 1,901545,901545,2567,1073,271178,7472,901545,1985,0,1537,1073,271178,7472,624082,65,43,22,7407,2115,5292,145,37,108,7327,2121,5206,2158,5314,308,765,100,0.284733,0.119018,30.079252,0.828799,100,0.220178,0.170485,0.119018,30.079252,0.828799,0.00721,0.00477,0.00244,0.82159,0.234597,0.586992,0.016084,0.004104,0.011979,0.812716,0.235263,0.577453,0.239367,0.589433,0.034164,0.084854,24802.82813,356.384247,340.791595,3114.243164,3280.941895,466.819122,98.830269,49.17992,49.650349,32.393436,0.716517,126027568
NVA_PREDICT-COMBO1-Prod_19T030346-8.LP-01-22.C1.czi,Layer 2,26556,26556,1169,4,18132,569,26556,1134,0,257,4,18132,569,8222,27,21,6,542,387,155,3,3,0,566,405,161,408,161,3,1,100,4.402019,0.015063,68.278358,2.142642,100,4.270221,0.967766,0.015063,68.278358,2.142642,0.101672,0.079078,0.022594,2.04097,1.457298,0.583672,0.011297,0.011297,0,2.131345,1.525079,0.606266,1.536376,0.606266,0.011297,0.003766,18678.89844,370.598083,409.827972,1608.792358,4004.152832,607.86438,88.038994,56.483192,31.555799,25.651821,0.714949,9462207
NVA_PREDICT-COMBO1-Prod_19T030319-12.LP-01-21.C1.czi,Layer 1,220102,220102,8213,3156,111816,11086,220102,4655,0,6263,3156,111816,11086,99968,501,451,50,10585,4001,6584,981,288,693,10105,4164,5941,4452,6634,831,2325,100,3.731452,1.433881,50.801903,5.036756,100,2.114928,2.845499,1.433881,50.801903,5.036756,0.227622,0.204905,0.022717,4.809134,1.817794,2.99134,0.445702,0.130848,0.314854,4.591053,1.89185,2.699203,2.022699,3.014057,0.377552,1.056328,19290.64453,341.594391,324.147156,2890.61084,7769.327637,632.242737,94.353493,56.614021,37.739475,28.027279,0.701326,40843224
NVA_PREDICT-COMBO1-Prod_19T030319-12.LP-01-21.C1.czi,Layer 2,59828,59828,2987,420,36891,2311,59828,2839,0,844,420,36891,2311,21549,154,141,13,2157,1188,969,55,23,32,2256,1306,950,1329,982,96,324,100,4.992646,0.702012,61.661762,3.86274,100,4.74527,1.410711,0.702012,61.661762,3.86274,0.257405,0.235676,0.021729,3.605335,1.985692,1.619643,0.09193,0.038444,0.053487,3.77081,2.182924,1.587885,2.221368,1.641372,0.16046,0.541552,25901.16016,349.895996,372.298431,3096.897705,3168.257324,568.419678,87.409241,56.802109,30.60713,25.73564,0.690859,14443707
NVA_PREDICT-COMBO1-Prod_19T028969-13.LP-01-20.C1.czi,Layer 1,682949,682949,1549,1191,169846,14597,682949,1338,0,711,1191,169846,14597,499305,86,13,73,14511,1854,12657,247,15,232,14350,1852,12498,1867,12730,314,877,100,0.226811,0.174391,24.869499,2.137348,100,0.195915,0.104107,0.174391,24.869499,2.137348,0.012592,0.001904,0.010689,2.124756,0.27147,1.853286,0.036167,0.002196,0.03397,2.101182,0.271177,1.830005,0.273373,1.863975,0.045977,0.128414,13747.86328,397.811127,371.496857,2859.834717,3319.883301,519.233582,87.782394,50.754681,37.02771,27.854839,0.712193,98943328
NVA_PREDICT-COMBO1-Prod_19T028969-13.LP-01-20.C1.czi,Layer 2,14343,14343,923,1,8805,455,14343,903,0,104,1,8805,455,5301,36,28,8,419,213,206,0,0,0,455,241,214,241,214,0,1,100,6.435195,0.006972,61.388832,3.172279,100,6.295754,0.725092,0.006972,61.388832,3.172279,0.250994,0.195217,0.055776,2.921286,1.485045,1.436241,0,0,0,3.172279,1.680262,1.492017,1.680262,1.492017,0,0.006972,16154.70508,357.142059,397.501282,2015.561523,3151.647217,576.258301,83.188568,56.006245,27.182322,23.730711,0.712448,7399466.5
NVA_PREDICT-COMBO1-Prod_19T029902-2.LP-01-43.C1.czi,Layer 1,37835,37835,11351,197,7559,10659,37835,11317,0,827,197,7559,10659,20303,4348,388,3960,6311,426,5885,156,4,152,10503,810,9693,814,9845,9,188,100,30.001322,0.520682,19.978855,28.172327,100,29.911457,2.185807,0.520682,19.978855,28.172327,11.492004,1.025506,10.466499,16.680323,1.125942,15.55438,0.412317,0.010572,0.401744,27.76001,2.140875,25.619135,2.151447,26.02088,0.023787,0.496894,31929.33594,360.692291,323.042816,2107.049805,4909.286621,1002.749878,76.443962,51.18264,25.261326,22.674648,0.717465,6351679.5
NVA_PREDICT-COMBO1-Prod_19T029506-2.LP-01-37.C1.czi,Layer 1,4296,4296,442,53,2611,696,4296,423,0,109,53,2611,696,1301,91,60,31,605,261,344,40,8,32,656,313,343,321,375,13,40,100,10.288641,1.233706,60.777466,16.201117,100,9.846369,2.537244,1.233706,60.777466,16.201117,2.118249,1.396648,0.721601,14.082868,6.075419,8.007449,0.931099,0.18622,0.744879,15.270019,7.285847,7.984171,7.472067,8.729051,0.302607,0.931099,24682.4375,327.734863,308.464203,1877.558594,5621.785645,694.797241,80.633034,53.041821,27.591211,24.130644,0.696679,623959.1875
NVA_PREDICT-COMBO1-Prod_19T029104-7.LP-01-19.C1.czi,Layer 1,280615,280615,3907,461,126030,13056,280615,2943,0,3140,461,126030,13056,140298,345,37,308,12711,1551,11160,113,4,109,12943,1584,11359,1588,11468,19,442,100,1.392299,0.164282,44.912067,4.652638,100,1.048768,1.118971,0.164282,44.912067,4.652638,0.122944,0.013185,0.109759,4.529694,0.552715,3.976979,0.040269,0.001425,0.038843,4.612369,0.564474,4.047895,0.5659,4.086738,0.006771,0.157511,18450.64258,678.491882,567.864746,1972.468262,5660.913574,517.558044,89.001114,51.508076,37.493038,28.038248,0.706949,39105324
NVA_PREDICT-COMBO1-Prod_19T029104-7.LP-01-19.C1.czi,Layer 2,68452,68452,1125,7,30012,269,68452,1014,0,466,7,30012,269,38179,28,23,5,241,135,106,0,0,0,269,158,111,158,111,1,6,100,1.643487,0.010226,43.843861,0.392976,100,1.48133,0.680769,0.010226,43.843861,0.392976,0.040905,0.0336,0.007304,0.352072,0.197218,0.154853,0,0,0,0.392976,0.230819,0.162157,0.230819,0.162157,0.001461,0.008765,8574.822266,520.879028,551.580872,2040.279785,3652.472168,548.936829,89.264091,48.938934,40.325161,29.336872,0.716314,24371174
NVA_PREDICT-COMBO1-Prod_19T023927-19.LP-01-08.C1.czi,Layer 1,1265794,1265794,10954,852,463581,34043,1265794,9712,0,5002,852,463581,34043,768433,496,175,321,33547,4175,29372,96,2,94,33947,4348,29599,4350,29693,35,817,100,0.865386,0.06731,36.623734,2.689458,100,0.767265,0.395167,0.06731,36.623734,2.689458,0.039185,0.013825,0.02536,2.650273,0.329832,2.320441,0.007584,0.000158,0.007426,2.681874,0.3435,2.338374,0.343658,2.3458,0.002765,0.064544,20450.44141,360.404053,354.529053,1635.260864,3784.946777,527.518677,91.300781,52.507107,38.793678,28.740891,0.706844,240287984
NVA_PREDICT-COMBO1-Prod_19T023927-19.LP-01-08.C1.czi,Layer 2,16496,16496,489,6,10078,227,16496,438,0,217,6,10078,227,6224,5,4,1,222,122,100,3,2,1,224,124,100,126,101,2,4,100,2.964355,0.036372,61.093597,1.376091,100,2.655189,1.31547,0.036372,61.093597,1.376091,0.03031,0.024248,0.006062,1.345781,0.739573,0.606208,0.018186,0.012124,0.006062,1.357905,0.751697,0.606208,0.763822,0.61227,0.012124,0.024248,11926.81934,436.452423,443.086426,1686.280762,3753.313965,679.788818,87.640251,54.322727,33.317524,26.784031,0.702815,3308908
NVA_PREDICT-COMBO1-Prod_19T025227-14.LP-01-10.C1.czi,Layer 1,554863,554863,6605,6425,226089,30860,554863,5294,0,4715,6425,226089,30860,301936,448,130,318,30412,9978,20434,2749,1617,1132,28111,8491,19620,10108,20752,3199,3226,100,1.190384,1.157943,40.746815,5.561733,100,0.954109,0.849759,1.157943,40.746815,5.561733,0.080741,0.023429,0.057311,5.480993,1.798282,3.682711,0.495438,0.291423,0.204014,5.066296,1.530288,3.536008,1.821711,3.740022,0.576539,0.581405,13202.69434,524.570801,485.045319,1934.472534,4142.883789,512.963806,95.487045,51.66898,43.818062,30.422991,0.706881,95179784
NVA_PREDICT-COMBO1-Prod_19T025227-14.LP-01-10.C1.czi,Layer 2,204199,204199,11090,24,118590,597,204199,9975,0,4686,24,118590,597,83963,90,60,30,507,333,174,0,0,0,597,393,204,393,204,5,19,100,5.430977,0.011753,58.075699,0.292362,100,4.884941,2.29482,0.011753,58.075699,0.292362,0.044075,0.029383,0.014692,0.248287,0.163076,0.085211,0,0,0,0.292362,0.192459,0.099903,0.192459,0.099903,0.002449,0.009305,10254.92969,440.335815,479.641144,2690.213867,3718.34375,526.431946,92.567085,49.939781,42.6273,30.719072,0.693274,47717688
NVA_PREDICT-COMBO1-Prod_19T023958-12.LP-01-07.C1.czi,Layer 1,445674,445674,1045,735,68000,7038,445674,929,0,295,735,68000,7038,371222,56,23,33,6982,1120,5862,119,32,87,6919,1111,5808,1143,5895,129,606,100,0.234476,0.164919,15.25779,1.579181,100,0.208448,0.066192,0.164919,15.25779,1.579181,0.012565,0.005161,0.007405,1.566616,0.251305,1.315311,0.026701,0.00718,0.019521,1.55248,0.249285,1.303195,0.256465,1.322716,0.028945,0.135974,7414.587402,358.207947,320.163086,1743.444702,4722.726074,423.80072,97.412079,59.779396,37.632679,27.868814,0.730712,305986240
