"","Quantiseq_NK_cell","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"R3388_YZ_49",0.0695932664198708,0.17401858257465,0.223102783193764,0.283142177484495,0.238969891423916,0.0945964095491673,0.0797373665103841,0.198222173080795
"R3388_YZ_50",0.0538815612549573,0.0609007767253419,0.171965892169486,0.105593513237453,0.156184317363701,0.0453004516953712,0.101617935370297,0.0494366275603017
"R3388_YZ_51",0.0361380210335754,0.00072640733498761,0.129571301053246,0.118201236938997,0.183747815862277,0.106613939084325,0,0
"R3388_YZ_52",0.0570259648723652,0.0546516852553532,0.124599981661935,0.0210264596125252,0.130658183494762,0.0383053139228971,0.0865907036144615,0.0590369802194649
"R3388_YZ_54",0.0542322020187853,0.0803495276770469,0.124599711554233,0.103527026240832,0.132912270196683,0.0729947467063169,0,0.0873161290173193
"R3388_YZ_55",0.0599104844422824,0,0.0660962473808556,0,0.107457335478986,0.118617260486742,0.0465709242469354,0.0103921863815717
"R3388_YZ_57",0.0485168901743196,0.00473605247765134,0.184367130221788,0,0.192177565503197,0.110046760542428,0.0100030091727055,0
"R3388_YZ_58",0.0709313231280688,0.069666682453647,0.120704903096548,0.166331930569159,0.152361756426186,0.0652917055484267,0.0417180306687767,0.0576110989643617
"R3388_YZ_60",0.072696081190417,0.161209502632143,0.144571119850701,0.408459297598839,0.159575746371614,0.0757244916650571,0.100161247825304,0.224662126911785
"R3388_YZ_61",0.0619086597275766,0.0674475728454528,0.157394903601426,0.0544020789413525,0.159364130266377,0.00383690369202138,0.113234626665913,0.120917257650413
"R3388_YZ_62",0.0892217366706387,0.117167120662129,0.153163925880749,0.167987056259289,0.162546294221881,0.145767103694626,0.12489699106312,0.166116895142628
"R4163_YZ_1",0.0738706025132685,0.12374267127273,0.129519543733933,0.109957503007796,0.158287194007236,0.079705232178558,0.0856467601401182,0.087931293455038
"R4163_YZ_2",0.0916014223569668,0.0470786279476272,0.0784380787810838,0.0218815775844846,0.0797305975097305,0.0767633535865639,0.0151540671697606,0.0552322189231681
"R4163_YZ_3",0.0508594247949435,0.0531689360428846,0.0399867081672703,0.0421106859337433,0.056095647329562,0.0733257385943217,0.0155827526945948,0.0227084630359796
