"","Quantiseq_T_cell_CD8.","MCP_CD8_T_cells","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"Gide_PD1_29_Pre",0.000439577243146779,0.028127905663368,0.0389827942654629,0,0,0,0.0114531164678264,0,0.0660131585380472,0,0.122603313204161,0.107391872733611,0,0,0,0.0114531164678264,0,0.0900118337236416,0,0,0,0,0,0.0446832782898898,0.0916313875589984
"Gide_PD1_3_Pre",0.00289591060663172,0.053158176109657,0.0665725857614865,0,0,0,0,0,0.0652034600322496,0,0.160861967943053,0.103904425968016,0,0,0,0,0,0.0911998560258153,0,0,0,0,0,0.0614728572852637,0.0716099987905696
"Gide_PD1_30_Pre",0,0.175540703618893,0,0,0,0.0267584029941955,0.00369684744545555,0,0.052110972863866,0,0.124515712764002,0.0307927491318771,0,0,0.0267584029941955,0.00369684744545555,0,0.064373093411938,0.100324313992649,0,0.010856117176704,0,0,0.0199562108743291,0.0544124310675726
"Gide_PD1_34_Pre",0.024688238497432,2.34308854971114,0.0348969357100661,0.00813969621312562,0.0119669861707303,0.0127390260465235,0,0.0209722772726694,0.0627398652686175,0,0.0953162541873672,0.186017083108602,0.00813969621312562,0.0119669861707303,0.0127390260465235,0,0.0622433284489827,0.0861135076043944,0.00486350239540741,0,0,0.0396343978488997,0.0170478050456565,0.0435875182519617,0.101644375428271
"Gide_PD1_35_Pre",0.0568677939630462,3.28494842848382,0.0702970352209723,0,0.0150377536021412,0.021877732564955,0.0885663700223755,0.250987349057377,0.0854955665998728,0.0807059881506531,0.134176017537562,0.142867162479806,0,0.0150377536021412,0.021877732564955,0.0885663700223755,0.0681460109680459,0.111175741958398,0,0,0.0691782916547907,0.108295886244529,0.321639452277239,0.038221104917529,0.058221522051875
"Gide_PD1_36_Pre",0.00526493490926734,0.790949311385059,0.037721633227069,0,0.00587261069138889,0.07112266643182,0,0,0.0674888239313342,0.0568440512424078,0.0604251069139452,0.119347924170883,0,0.00587261069138889,0.07112266643182,0,0,0.0873542848818951,0.0284322674259856,0.130056766973873,0,0.0317953683610242,0.00964629428936485,0.0237215393704899,0.0436038900096304
"Gide_PD1_38_Pre",0.100252791515319,8.19277509981565,0.0427770111408235,0.180481194972971,0.0530539233135769,0.0567230814964301,0.117302990715304,0.352279619063851,0.0906578483949286,0.0787163877247035,0.0048979281010888,0,0.180481194972971,0.0530539233135769,0.0567230814964301,0.117302990715304,0.131531192957268,0.120978677669538,0.0514424641250825,0.267209646105544,0.100045297202292,0.158509011123902,0.0686274257396582,0.0144376004601674,0.034005267829405
"Gide_PD1_4_Pre",0.0496924952524471,4.11901480187468,0.073758877546973,0.150480907908009,0.043074148691534,0.0907374794628206,0.0247334575111609,0.282136691901658,0.0830305115650889,0,0.0995455831112206,0.150293524479201,0.150480907908009,0.043074148691534,0.0907374794628206,0.0247334575111609,0.156196488324041,0.108541848790889,0.0511374860301876,0.215948918492132,0.0334290331179568,0.0412972924928019,0.148824347050103,0.0269330113472523,0.0599330268178291
"Gide_PD1_40_Pre",0.0773191814482531,4.72427709026625,0.0180610738559771,0.0409030681258118,0.0423985355416571,0.0111747382310869,0.00895448597946406,0.331780009475898,0.0869150286488947,0.0352121131260104,0.0813841436587724,0.0516920748345409,0.0409030681258118,0.0423985355416571,0.0111747382310869,0.00895448597946406,0.118454510910131,0.120281990869283,0.0438182215542939,0,0.0447208968338766,0.016493660604228,0.0488213271280437,0.0263529616404879,0.0293222738311224
"Gide_PD1_41_Post",0.11707235799434,8.17490784440271,0.0726605740994852,0.153058020462122,0.0408357921570675,0.0651199985897109,0.0635210669061962,0.45515309705288,0.122932951589748,0.101621741612357,0.0766453955740769,0.0612830992377758,0.153058020462122,0.0408357921570675,0.0651199985897109,0.0635210669061962,0.145833480781557,0.145225284051566,0.124075492066331,0.0553698614051932,0.0825987172602696,0.142281650447928,0.296616239940162,0.0249585811343739,0.0602407284850306
"Gide_PD1_41_Pre",0.00700777243665411,0.751578469633721,0,0,0.00601597335922843,0.0181737621631967,0,0,0.0601056172060608,0.0173713444872367,0.146099801549769,0.143849370271764,0,0.00601597335922843,0.0181737621631967,0,0,0.0740984014458875,0.041938641626957,0.139175469745332,0,0.0361566638210289,0.00712570783525396,0.0550322593540698,0.0622477183263679
"Gide_PD1_42_Pre",0.00394963831698571,0.869648385304909,0,0,0,0,0.0207678966057712,0,0.0562507889025112,0,0.142836439902872,0.118073250403734,0,0,0,0.0207678966057712,0,0.0734359665232761,0.0209689900998712,0,0.0159673518056411,0,0.00826760841679652,0.0354561297823973,0.0691741414200009
"Gide_PD1_44_Pre",0.158418018565705,6.29923743858527,0.0514571765271534,0.0316388155919952,0.0319327110568424,0.00754998979403842,0,0.441266747105272,0.14755924423895,0.0313324438719264,0.12665338350152,0.169687599616626,0.0316388155919952,0.0319327110568424,0.00754998979403842,0,0.0821833409334498,0.198871378320456,0.0115023070021998,0,0,0.0520994316756553,0.0293154530547074,0.029059643843216,0.0609716935611235
"Gide_PD1_45_Pre",0.199575344438813,9.9700407786719,0.0839013585715948,0.144680765894285,0.0440346416597329,0.0690664568342629,0.13389715892451,0.669804693359456,0.192595712791302,0.185499931715141,0.0300456333794641,0.0170934019438279,0.144680765894285,0.0440346416597329,0.0690664568342629,0.13389715892451,0.181401897120597,0.216944421018482,0.0480953219323358,0.0583623805299256,0.120530565767788,0.214078791076852,0.130469146257569,0.0173585792564151,0.0315526250445214
"Gide_PD1_46_Pre",0.0420669283490608,2.73843535182211,0.0591511034585227,0.0765161840363612,0.0156987804272043,0.0702223532203746,0.0158010996800148,0.0752869255192675,0.0791791190625114,0,0.0503459622850175,0.118251853455513,0.0765161840363612,0.0156987804272043,0.0702223532203746,0.0158010996800148,0.114565358183162,0.112275549733307,0.0646265300125822,0.265710161947308,0.0139853583735087,0.0504580855663177,0.0219762800106227,0.0186435197993068,0.0558427386742025
"Gide_PD1_47_Post",0.150629622223743,5.94780596921228,0.0696311390607548,0.146019988303012,0.0591300699028948,0.056665816637861,0.028333437697292,0.318256356260928,0.117598886477523,0.0961772786634598,0.0921524719118388,0.06141421148187,0.146019988303012,0.0591300699028948,0.056665816637861,0.028333437697292,0.141447911058177,0.138237910170333,0.0208589795140501,0.234165791653443,0.0108551452255416,0.0139850973095955,0.196059241028372,0.0207464208236539,0.0341977934498395
"Gide_PD1_47_Pre",0.0697571135120875,1.78927632387155,0.0694905086407828,0.0801550353100039,0.0515586647087225,0.00908317447531507,0.02239762000254,0.285141643302842,0.0774133024048714,0.091158882441568,0.021327488505076,0.00264948891602824,0.0801550353100039,0.0515586647087225,0.00908317447531507,0.02239762000254,0.074158850313346,0.091086606452825,0,0.154088268437327,0.0142668115646036,0,0.00803465421551957,0.0158958138826975,0.0250040179651384
"Gide_PD1_48_Post",0.478141228454519,29.8967413449429,0.0743156722926834,0.149611540286567,0.132513240995255,0.133737900010982,0.161476223276422,0.501318002678955,0.240704525381151,0.18519396054974,0,0.0329178450334928,0.149611540286567,0.132513240995255,0.133737900010982,0.161476223276422,0.180389836639152,0.293754995182903,0.136577940119365,0.173434007787788,0.178103699777786,0.42105126123504,0.137462112054385,0.0177276132780523,0.0356224352026676
"Gide_PD1_48_Pre",0.151554189290335,9.10502489112721,0.0641455539829723,0.0374237287650569,0.0328239874246017,0.0632329599588293,0.0417424697827157,0.426999710357924,0.12570075748739,0.0428622994158304,0.0604603067439754,0.111625013374814,0.0374237287650569,0.0328239874246017,0.0632329599588293,0.0417424697827157,0.169282932676137,0.169074259776554,0.0456101491508748,0.0231239944900585,0.0278849639484042,0.457215689902779,0.190980651530967,0.0275798170525909,0.064664057256265
"Gide_PD1_49_Pre",0.0117740729881238,1.10413572402595,0.0494103666787206,0,0,0.026819296431038,0.00241618194847992,0.00345277354525938,0.06829208049779,0,0.079363075096126,0.208358944474203,0,0,0.026819296431038,0.00241618194847992,0.0369821727351328,0.0915458851422273,0.0769770961102708,0.126615165223338,0.00147584821665241,0.181654462233893,0.0676090233399731,0.0408221114468787,0.111879245822599
"Gide_PD1_5_Pre",0.00245296375361853,0.243095714865663,0.0396582426531183,0,0,0,0,0,0.0660695660743448,0,0.242578203434955,0.23013962599523,0,0,0,0,0,0.0896638591069696,0,0,0,0,0.00076281327672663,0.0783263260454415,0.128574112088098
"Gide_PD1_50_Pre",0.0314014007437391,1.59708999173562,0.0192494420173645,0.00361268079754489,0.00529707577083349,0.03082023506055,0.0788687542583107,0.0407643740515379,0.0771062109069111,0.00959103741114082,0.0681243153988137,0.0777838953150798,0.00361268079754489,0.00529707577083349,0.03082023506055,0.0788687542583107,0.125625986988246,0.108214148552986,0.0413954075556217,0.252305304699014,0.0597213775822546,0.367634318853654,0.151654240979503,0.023981307140979,0.0466073654290959
"Gide_PD1_52_Pre",0.0203127340536233,1.77444945660123,0.0362070056359392,0.0648150070838083,0.0230038059778684,0.0136242772660182,0,0.0306171843965824,0.0536453310869043,0,0.0428565554636012,0.118254950962354,0.0648150070838083,0.0230038059778684,0.0136242772660182,0,0.100655320045042,0.0752911070104623,0.0241226336229897,0.0922937297730856,0,0.196322384447072,0.111516027745435,0.0193539991434937,0.0741916599729954
"Gide_PD1_53_Pre",0.0981523029671302,13.1126027419032,0.0587467577330322,0.0981942636865907,0.0256056487005661,0.179242981428592,0.192872440349675,0.646746972013393,0.138608775640892,0.113786830605668,0.181072953518367,0.140701732781593,0.0981942636865907,0.0256056487005661,0.179242981428592,0.192872440349675,0.253189294919388,0.16807539590001,0.190474272124876,0.0518770706828112,0.153036157983308,0.267552043387724,0.394033019129425,0.0523052709280106,0.0928023756279083
"Gide_PD1_54_Pre",0.0162683194861976,2.17978048959101,0.0376101628714001,0.0309316405477841,0.0129834885804568,0.0490100736456867,0.0190472117064407,0.00534054642138408,0.0703538143001118,0,0.219387935717536,0.244574368966033,0.0309316405477841,0.0129834885804568,0.0490100736456867,0.0190472117064407,0.140916383255987,0.0937842748251385,0.043163444480687,0.251321648259073,0.00759349728720295,0.0735888047012089,0.00630717446135885,0.0669254801966701,0.0892299677226722
"Gide_PD1_6_Pre",0.0822678251502292,2.03238213872008,0.0493275825122991,0,0,0,0,0.151077697191912,0.0908823622467969,0.0612343130236155,0.154725628177483,0.146210839977826,0,0,0,0,0.0471453020151,0.1120156626194,0.00144033704099572,0,0,0,0.188568892807946,0.0279637836807723,0.0658248878290991
"Gide_PD1_7_Pre",0.104793977711621,5.21329238036421,0.0355835703065602,0.0981811277962002,0.0486368938268036,0.0102513279566286,0.0195620100866894,0.0620858660561366,0.0932934870699227,0.000661854819456867,0.0411512010090375,0.0630004982485996,0.0981811277962002,0.0486368938268036,0.0102513279566286,0.0195620100866894,0.064888678396034,0.135256987287485,0,0.359642462405783,0.0201591818965066,0.0106765940121374,0.141521263321253,0.0127464899514509,0.0378495154778541
"Gide_PD1_8_Post",0.00409656144982729,0.461747941945068,0.0206982302519996,0,0.0096965981244928,0.11163299453542,0,0,0.0537436690535157,0,0.209141836500233,0.055544331998462,0,0.0096965981244928,0.11163299453542,0,0,0.0732229769442089,0.0390067653359139,0.048058146258655,0,0,0.00209213245881651,0.0574027310017198,0.0434430241333549
"Gide_PD1_8_Pre",0,0.152115122496653,0.0369810498613808,0,0,0.0153208325615403,0,0,0.0573546260104257,0,0.207162592112523,0.0849814256223972,0,0,0.0153208325615403,0,0,0.0736351624044768,0.0160840725555608,0,0.0196494641777408,0,0,0.0830530850810691,0.0439906465586745
"Gide_PD1_9_Pre",0.0173477555222805,0.333224841449471,0.0539744612802992,0,0,0.0459632809445022,0,0.018167702896232,0.0590977652772582,0,0.160109100860832,0.135282700299017,0,0,0.0459632809445022,0,0,0.0767130882179079,0.0295263232233528,0.0877735883867896,0,0.174553604252497,0,0.0460430019896743,0.0704723094891063
