"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"R3388_YZ_23",0.0677052106101386,0.151635646806979,0.149269667437104,0.146256520124272,0.0531424202546837,0.0112895102863834,0,0.0667041196207532,0.266958845170126,0.160489596802889,0.164264871423978
"R3388_YZ_24",0.0722640754325019,0.113315422237343,0.113571758587227,0.274568348241945,0.0793977020469093,0.042158743893329,0.152234940867247,0.0889477926595784,0.0372583924469142,0.275622290980543,0.199717389558464
"R3388_YZ_25",0.0552762533538232,0.141442846210232,0.144047134987362,0,0.04115882445509,0.0897827980355324,0,0.0519618002392687,0,0,0.314436270301537
"R3388_YZ_26",0.0885033053887124,0.155986269934127,0.158951051597411,0.253472314713707,0.121462173791492,0,0.152497228881315,0.12209124072214,0.278585842174467,0.315705428854258,0.347235010110865
"R3388_YZ_27",0.0900430104604055,0.131789900082093,0.131965268754948,0.347911396078108,0.0516189415988903,0.0167320960439297,0.195851613845579,0.0631546211775287,0.105294962050529,0.341950224759064,0.177021227143116
"R3388_YZ_28",0.0760019003804067,0.109565907682743,0.109326497712567,0.0486736934200509,0.059777075093135,0,0.0196889583806816,0.0913087348817385,0.0969745924941795,0.136235118520244,0.251301378855139
"R3388_YZ_29",0.0225598471761019,0.138091988237773,0.139873055322907,0,0.0699968494520858,0.0262012077734828,0,0.086720342494902,0.088544869757889,0,0.119182557525077
"R3388_YZ_30",0.0659540550085178,0.149024635737096,0.152258948782924,0.0828040040505474,0.102865084296027,0,0.0832470823129079,0.137076375960806,0.498102178441021,0.0505990164066184,0.261671452216182
"R3388_YZ_31",0.0674102629933748,0.144868254896953,0.148836853952622,0.000492161353286996,0.127047293786149,0.0606802186489716,0,0.145789761934608,0,0.0409663218760486,0.107982983987685
"R3388_YZ_32",0.0614726192298302,0.146763225818148,0.147449259263264,0.00216230589492158,0.0742655119449366,0.0644283362643425,0,0.0813641681834082,0,0,0.312945867493428
"R3388_YZ_33",0.0514049454094635,0.145727985486644,0.147598402138371,0,0.0826683174594405,0.0598804083915817,0,0.0923346193447548,0.0296080824790883,0,0.0946576779197858
"R3388_YZ_34",0.0678052594005167,0.126308103982491,0.126868753777952,0.163386622641414,0.0864923914307419,0.0861678330159002,0.088826696697626,0.0966479476128531,0,0.0925100612506568,0.160194687660822
