"","Quantiseq_NoSignature_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX.LM22_M1","DeconRNASeq_CBSX.LM22_M1","Epidish_CCLE.TIL10_M1","DeconRNASeq_CCLE.TIL10_M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_M1","DeconRNASeq_LM22_M1","Epidish_TIL10_M1","DeconRNASeq_TIL10_M1","CBSX_LM22_M1","CBSX_TIL10_M1","CBSX_CCLE.TIL10_M1","CBSX_CD226_M1"
"LUNG-NSCLC2-0685",0.186292424002149,0.0627944914608349,0.0945255705216147,0.0966440898303969,0.0289809464082268,0.131027751215047,0.496267160417518,0.408038344996965,0.218461055252733,0.262647838528591,0.0289809464082268,0.131027751215047,0.611244724811956,0.39758018439296,0.0270784661829645,0.349680730022485,0.469103337566134,0.299383064027006
"LUNG-NSCLC2-0687",0.105418549164903,0.0803554365640999,0.119001269005589,0.11268909466686,0.0144138165991311,0.047035884725216,0.517489486605157,0.369092809760994,0.105493059763297,0.237363649608881,0.0144138165991311,0.047035884725216,1,0.345057604604759,0.0038238119564454,0.538794524041153,0.431251227947197,0.289871936979045
"LUNG-NSCLC2-0689",0.0571173119897713,0.0705554107484917,0.103211921906637,0.126148411768761,0.0148653734093751,0.066019842205388,0.505793593119599,0.208566755306432,0.199159734134293,0.184344574862005,0.0148653734093751,0.066019842205388,0.662372974300475,0.193900055634096,0.0208296566776163,0.250579378706061,0.496460324881704,0.167118955861706
"LUNG-NSCLC2-0695",0,0.0674677339641777,0.109322965569409,0.102092601191982,0,0.0447416569198229,0.0769483985481048,0.0746017532258701,0.397987296744481,0.16363223918105,0,0.0447416569198229,0,0.0745535647076618,0,0.223305375207197,0.0831637040600421,0.136965146771165
"LUNG-NSCLC2-0696",0.10180986157676,0.0634255971394037,0.0985337798697538,0.093018674330059,0,0.0210417078040626,0.296598530795723,0.208287574588908,0.125234179005688,0.177419970596756,0,0.0210417078040626,0.926208631763367,0.202093278713609,0,0.18910294291263,0.229436212783835,0.209249971277925
"LUNG-NSCLC2-0698",0.038055945443419,0.0462974452204273,0.0736085540549987,0.0743030666177361,0.0135338348903854,0.101180158003761,0.450196501211152,0.204129621004031,0.20110565413242,0.214076360049863,0.0135338348903854,0.101180158003761,0.811789189743527,0.180019913240201,0.0148302841617429,0.563555914528774,0.353606746388571,0.277029999900064
"LUNG-NSCLC2-0704",0.0683738508027884,0.0707134494413108,0.101344191724491,0.0967335012920667,0,0.067789753641227,0.468393291257438,0.317569047086482,0.382748828833487,0.328470690885289,0,0.067789753641227,0.887932042512325,0.313055420725936,0.0073069285669579,0.364144465515042,0.525383270961851,0.332921724135096
"LUNG-NSCLC2-0705",0.0771060157680128,0.0597333582669837,0.0945821214922688,0.0896632979551934,0.0163513322846655,0.0379051689491366,0.558739856008044,0.329530863795672,0.182618569767288,0.252461944371297,0.0163513322846655,0.0379051689491366,0.728433102154582,0.332073811541317,0.0279459132524618,0.514064956911407,0.538181453481265,0.274584378897409
"LUNG-NSCLC2-0707",0.0874166603232939,0.0528930290793491,0.0819610682422511,0.0789445705434385,0,0.0337828581438809,0.295886422006692,0.302357598970041,0.195349763759947,0.279199388801324,0,0.0337828581438809,0.54450189034886,0.293410757796042,0,0.414450865612122,0.292069973462979,0.230435469781209
"LUNG-NSCLC2-0709",0.0614317659681642,0.0511055836047458,0.0777931706237145,0.0729966769513464,0.0099816340564893,0.0315488012466948,0.660489856992183,0.264532740395352,0.304630747092828,0.265120618524928,0.0099816340564893,0.0315488012466948,0.719881994231023,0.25512246161303,0.0204146641370637,0.356684398156306,0.304451955916046,0.337746484424868
"LUNG-NSCLC2-0712",0.0387108361076342,0.0773199615459369,0.119334191071421,0.113764385745716,0.006178068363793,0.0501169719759533,0.695547846953161,0.089355978668502,0.45038718553263,0.209506619936066,0.006178068363793,0.0501169719759533,0.969441068317057,0.0922009383055095,0,0.350276122466808,0.448113387013562,0.183290915194381
