"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__TIL10__B.cells","CBSX__CD226__B"
"LP.01.31",0.0389613818315881,0.0162146113178902,0.0981274647627236,0.0102536386311309,0.0875329210357189,0.0216526751334166,0.0798999778383189,0.847061683704234,0.436818433172426,0.0108599337559991,0.0820375844098421,0.118428731935653,0.00395554326379164,0.0759538118403042,0.359289043545047,0.28287560002985,0.847061683704234,0.436818433172426,0.0108599337559991,0.0820375844098421,0.109561748963911,0.895313373180788,0.0101255516430295,0.00412694948292674,0.198917735336044
"LP.01.32",0.0431588986380355,0.0200049330945887,0.0985456699135416,0.0154793271543423,0.0852606043030762,0.0223494634583236,0.0871156790236743,0.894380857689905,0.454030286419232,0.045155877459743,0.102854715832888,0.115568746444994,0.00395554326379164,0.055733621241393,0.403473388213517,0.321584177224893,0.894380857689905,0.454030286419232,0.045155877459743,0.102854715832888,0.0962055370874943,0.890062331326607,0.0517507427602285,0.00412694948292674,0.211355121892211
"LP.01.34",0.066949617808187,0.0296601378807853,0.0802263373255609,0.0267335067391627,0.0688680772667932,0.0334971194459526,0.0601206969057556,0.922448853119018,0.508002893856179,0.05042383502917,0.0887441059041221,0.120004164380452,0.00395554326379164,0.0575399607732995,0.0978032149347808,0.215171713593789,0.922448853119018,0.508002893856179,0.05042383502917,0.0887441059041221,0.0981760457245911,0.886582458726478,0.0310304623311123,0.00412694948292674,0.15712765777626
"LP.01.35",0.0793814621147714,0.0410715861430889,0.0776633812370355,0.0402836246002429,0.06619583545319,0.0465726144313752,0.0565942607773018,0.917686370504829,0.60727957468748,0.0481213550400443,0.0879301864041953,0.109233314212202,0.00395554326379164,0.0923658888908915,0.105151867776998,0.34029399230627,0.917686370504829,0.60727957468748,0.0481213550400443,0.0879301864041953,0.10555639327915,0.830838093280227,0.0486685919551967,0.00412694948292674,0.143094547574175
"LP.01.37",0.0353450752598877,0.00914847829684254,0.0969112732994267,0.00680047460009467,0.0848380328186455,0.0200996433094429,0.0806936353426045,0.651478991904555,0.44576136171286,0.0183099643693073,0.0956423143816387,0.119334659841938,0.00395554326379164,0.0544261160713628,0.139281496544792,0.192138440910907,0.651478991904555,0.44576136171286,0.0183099643693073,0.0956423143816387,0.0955164180350964,0.62816113596959,0.0229737824736392,0.00412694948292674,0.168189139180836
"LP.01.38",0.0668871856808641,0.00835927995289474,0.109496164074812,0.00551061701059885,0.0981788229531743,0.0164382553901566,0.107412918430936,0.848338870361052,0.400295402950655,0.0108599337559991,0.0987132360815649,0.133051492762605,0.00395554326379164,0.064631007098287,0.231342115667642,0.119156746459469,0.848338870361052,0.400295402950655,0.0108599337559991,0.0987132360815649,0.146704693476704,0.815553492607229,0.0101255516430295,0.00412694948292674,0.194452962208904
"LP.01.40",0.0190315643402648,0.0104444217640822,0.0991979628727437,0.00531292868781577,0.0888861291275453,0.00823075403047357,0.0792302454939768,0.858866350540437,0.485274964551793,0.0135909535099566,0.0987827987580145,0.125944107328353,0.00395554326379164,0.0311359159845087,0.135441494334501,0.0655540971825114,0.858866350540437,0.485274964551793,0.0135909535099566,0.0987827987580145,0.0757504427291889,0.842338143003273,0.0213008813294843,0.00412694948292674,0.190243328565497
"LP.01.42",0.0787810334564253,0.0600183839724959,0.0937385274037545,0.0627587905293883,0.0837544824259427,0.0719534729181312,0.0779209475294448,0.836000716345985,0.429175979743162,0.024868025912386,0.0976201757437622,0.126233015671785,0.00395554326379164,0.0790002618900974,0.0377220336786181,0.160597552845853,0.836000716345985,0.429175979743162,0.024868025912386,0.0976201757437622,0.136285362906914,0.782385458291598,0.0101255516430295,0.0055233109334785,0.182444633088945
"LP.01.43",0.0828453921070474,0.0474488680539391,0.0718422351563616,0.0560666870719417,0.0611504665765239,0.0668539073891428,0.0542431382527743,0.944564983985551,0.569367361282819,0.0702567371898415,0.101719655832201,0.11465754654532,0.0128078468859745,0.0893075105952222,0.0991867428144393,0.374618220115338,0.944564983985551,0.569367361282819,0.0702567371898415,0.101719655832201,0.123124850805911,0.898453231428864,0.0768558964297315,0.00412694948292674,0.190748750993485
"LP.01.44",0.0554216774545678,0.00622801689574579,0.0851409022740384,0.00431000871896538,0.0746102750584938,0.0129095246844205,0.063302973341422,0.868410761521084,0.441180012238232,0.01676576149048,0.0928811277774579,0.125374174692681,0.00395554326379164,0.0649187319856916,0.0669816855247184,0.178797134113475,0.868410761521084,0.441180012238232,0.01676576149048,0.0928811277774579,0.104191297016386,0.836068955651819,0.0189666981154165,0.00412694948292674,0.181183395712976
"LP.01.45",0.0534029447952341,0.0172622935780853,0.116657008158909,0.0192578842141471,0.106882739955248,0.0244167516346352,0.0984444985873487,0.762756727093479,0.405614966661522,0.0602056858159274,0.111759092863464,0.12323746628306,0.00395554326379164,0.0949152637118933,0.281151202593672,0.175809393255159,0.762756727093479,0.405614966661522,0.0602056858159274,0.111759092863464,0.171205059904113,0.697357601618215,0.0825240150633773,0.00412694948292674,0.199640063338986
"LP.01.46",0.0521338560913409,0.0330378843910022,0.102839523276579,0.0262197642694577,0.0898917809201591,0.0340424696709381,0.0864135649530004,1.06693003537792,0.689249336909682,0.0261502414315126,0.127462763289961,0.0967144299062613,0.00398471538060311,0.0782250377526895,0.472181877027044,0.535717155459388,1.06693003537792,0.689249336909682,0.0261502414315126,0.127462763289961,0.0999365200876322,0.970156954818614,0.0122373556934319,0.00418280394094881,0.226859941329216
"LP.01.47",0.0469323211450466,0.0135489561602697,0.0818349377768131,0.00789246660584721,0.0707127552626646,0.0129815919324518,0.0676315183121877,1.04747686207237,0.601691483941167,0.0174151832355998,0.0838916540254148,0.099798387413916,0.00398471538060311,0.0704856152198715,0.171333033693428,0.316261725705925,1.04747686207237,0.601691483941167,0.0174151832355998,0.0838916540254148,0.0828274431178529,0.918459412367812,0.0122373556934319,0.00418280394094881,0.200134798210967
"LP.01.48",0.0159928822790244,0.00677796635851085,0.0987688367833957,0.00420733811887182,0.0886789745077954,0.0130909100578834,0.0886359629047595,0.986709008155751,0.430488081568831,0.013094397498894,0.0947233540039474,0.124257824492222,0.00398471538060311,0.0352892001347319,0.317826529647326,0.284348668882654,0.986709008155751,0.430488081568831,0.013094397498894,0.0947233540039474,0.0987486065544557,0.8642345372073,0.0122373556934319,0.00418280394094881,0.176670763616791
