"","Quantiseq_Macrophage_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"LP.01.31",0.0980439119478875,0.268777245000815,0.0835948356275153,-0.00369210068983919,0.0402334300160312,0.118994832440381,0.106497288515373,0.10302429700079,0.282098586178809,0.138587272209513
"LP.01.32",0.101948343570068,0.0332541256868537,0.12521964648716,-0.00369210068983919,-0.00761624263374166,0.0351506925262795,0.164392388434085,0.129677643963211,0.0885902866775136,0.119859966466759
"LP.01.34",0.0864049174516096,-0.0191606690872819,0.0964022017251777,-0.00369210068983919,-0.0036202366563832,0.0164661089110833,0.144451730999107,0.0162132006602656,0.00795808631575325,0.187325445583248
"LP.01.35",0.093713910004653,-0.0191606690872819,0.088511729580596,-0.00369210068983919,-0.00180031882103967,0.0164661089110833,0.103798052839353,0.0162132006602656,0.00795808631575325,0.262133660793361
"LP.01.37",0.0297148107491814,-0.0191606690872819,0.037848863878486,-0.00369210068983919,-0.00761624263374166,0.0164661089110833,0.0683684964975243,0.0162132006602656,0.00795808631575325,0.138574724744446
"LP.01.38",0.053256906942579,-0.0161749057200544,0.062028758607553,-0.00369210068983919,0.0243178264219556,0.206461239063118,0.126674780451828,0.196657904058839,0.0401461203643914,0.10448611722437
"LP.01.40",0.0146162987330332,-0.0155881837674016,0.0268061407374682,-0.00369210068983919,-0.00761624263374166,0.143294525471391,0.0624999126138943,0.0162132006602656,0.00795808631575325,0.126188636933914
"LP.01.42",0.032817410113148,-0.0191606690872819,0.0449370597743141,-0.00369210068983919,-0.00597090366429344,0.0164661089110833,0.0797026497849517,0.0162132006602656,0.00795808631575325,0.134708028503223
"LP.01.43",0.0361142702633145,0.0250298727019686,0.0349428857765573,-0.00369210068983919,-0.00761624263374166,0.0417211404102848,0.0660921634433908,0.0162132006602656,0.126103193510902,0.0891611386626147
"LP.01.44",-0.0012821760306983,-0.0191606690872819,0.00645077730483567,-0.00369210068983919,-0.00761624263374166,0.0164661089110833,0.00940286092274976,0.0162132006602656,0.00795808631575325,0.140052285739106
"LP.01.45",0.0450863365989884,-0.0191606690872819,0.0900960763516354,-0.00369210068983919,0.0256121324639916,0.0164661089110833,0.154351262383005,0.0162132006602656,0.00795808631575325,0.0990395406732797
"LP.01.46",0.158899845357216,0.232198472459132,0.182837502040221,0.0168031053076145,0.0046788527503873,0.17551992445151,0.200265350424961,0.199374065793168,0.335963911063162,0.0823200337462539
"LP.01.47",0.11747929077669,0.0775013522499504,0.154628953067496,-0.0015658348338818,0.0208610146160532,0.0389062209350581,0.169745315753212,0.0428411153234692,0.169679777246166,0.146563881429948
"LP.01.48",0.0178627174690198,0.0621787532197311,0.0733176901282236,-0.00345714334640866,0.0046788527503873,0.115522236877128,0.152751127275352,0.0687062937020749,0.0677796335757412,0.139279891008959
"LP.01.52",0.0986457657265439,0.326813620477988,0.0884586079697477,0.0222158458467768,0.0318649106631207,0.252798387513394,0.0990808271455398,0.639165723836707,0.101245852912944,0.266455193338921
"LP.01.53",0.0289586393208475,0.0204128497618206,0.0431725349802337,-0.00345714334640866,0.0046788527503873,0.0389062209350581,0.0813493947338983,0.0126066393071236,0.0414232715903294,0.125464388271652
"LP.01.56A",0.0507338929877986,0.0549353080683829,0.028886133484835,-0.00345714334640866,0.0187548366514626,0.100188203297457,0.0560985866326798,0.0126066393071236,0.0358224483614454,0.171278229315232
"LP.01.57",0.0691139321255244,0.0565989498152857,0.064841959500723,0.00584928505603725,0.0495374035722616,0.0389062209350581,0.0718678036043948,0.0126066393071236,0.0678831320873738,0.246982877837939
"LP.01.58",0.0776162252385505,0.0204128497618206,0.0825548999907966,-0.00345714334640866,0.00837606795213202,0.0389062209350581,0.117187784908347,0.0126066393071236,0.0358224483614454,0.139380657319531
"LP.01.59",0.037613202985728,0.0204128497618206,0.0475674932877405,-0.00345714334640866,0.0046788527503873,0.0389062209350581,0.0851609532379927,0.0126066393071236,0.0358224483614454,0.163395402745067
"LP.01.60",0.0509000980020248,0.0352820776310958,0.0777162443132328,-0.00345714334640866,0.0046788527503873,0.0522190972353346,0.120905865092545,0.0126066393071236,0.0604365688236412,0.107492470620729
"LP.01.61",0.0516975591919772,0.0204128497618206,0.0551062953596998,0.0490052281618978,0.127890046755843,0.0389062209350581,0.102092998058354,0.149403998470602,0.0358224483614454,0.292631686337075
"LP.01.62",0.117730025382234,0.0495233215103313,0.155258218788822,-0.00345714334640866,0.0046788527503873,0.0389062209350581,0.176771953357832,0.0126066393071236,0.0358224483614454,0.117574171406783
"LP.01.63",0.0286624189999578,0.0204128497618206,0.03296669068201,-0.00345714334640866,0.0046788527503873,0.0389062209350581,0.0574593130879468,0.0126066393071236,0.0358224483614454,0.107224421296233
